DHSID,ncc4_2013e
LB200700000192,9.92
LB200700000193,5.043478261
LB200700000194,17.66666667
LB200700000201,21.69565217
LB200700000204,5.72
LB200700000207,18.08695652
LB200700000210,5.217391304
LB200700000211,19.52
LB200700000213,16.46153846
LB200700000214,3.730769231
LB200700000215,4.52173913
LB200700000216,0
LB200700000217,22.25
LB200700000220,0
LB200700000223,17.26923077
LB200700000226,22.28
LB200700000227,3
LB200700000230,4.260869565
LB200700000232,5.416666667
LB200700000236,15.88888889
LB200700000240,26.54166667
LB200700000247,20.2
LB200700000248,23.91304348
LB200700000252,26.47826087
LB200700000258,0.48
LB200700000261,20
LB200700000262,5.038461538
LB200700000266,26.58333333
LB200700000274,7.2
LB200700000275,19.47826087
LB200700000282,5.043478261
LB200700000284,18.58333333
LB200700000285,22.30434783
LB200700000286,16.79166667
LB200700000288,7.652173913
LB200700000291,2.086956522
LB200700000292,7.84
LB200700000293,19.6
LB200700000298,0
LB200700000299,3.956521739
LB198600000118,2.44
LB198600000119,2.44
LB198600000120,2.44
LB198600000121,2.44
LB198600000210,7.04
LB198600000211,7.04
LB198600000212,7.04
LB198600000213,7.04
LB198600000305,0
LB198600000307,1.72
LB198600000310,4.08
LB198600000311,4.08
LB198600000319,5.36
LB198600000320,0
LB198600000321,25.76
LB198600000322,16.8
LB198600000323,16.16
LB198600000324,16.16
LB198600000325,25.76
LB198600000326,21.03846154
LB198600000327,22.43478261
LB198600000328,21.08333333
LB198600000329,25.76
LB198600000330,25.76
LB198600000331,25.76
LB198600000332,24.26086957
LB198600000333,23.66666667
LB198600000334,23.91304348
LB198600000335,22.875
LB198600000336,27.12
LB198600000337,26.83333333
LB198600000338,27.12
LB198600000339,25.34782609
LB198600000340,25.34782609
LB198600000341,25.34782609
LB198600000342,25.76
LB198600000343,25.76
LB198600000344,22.72
LB198600000345,22.72
LB198600000346,19.92
LB198600000348,4.76
LB198600000350,0.565217391
LB198600000351,1.44
LB198600000352,5.96
LB198600000353,15.2
LB198600000365,7.56
LB198600000374,6.96
LB198600000382,13
LB198600000383,13
LB198600000388,7.44
LB198600000395,0
LB198600000398,0.96
LB198600000403,2.4
LB198600000408,4.68
